rank,tier,topic,primary_keyword,vol,kd,secondary_keywords,page_type,target_url,why
11,Quick win,"DNB Ophthalmology Question Papers: Year-Wise Topic Analysis",dnb ophthalmology question papers,140,18,"dnb ophthalmology previous year questions|dnb ophthalmology paper pattern|dnb ophthal past papers",Article,/products/dnb-do-past-5-year-papers,"You rank #25 and this page is a zero-inbound orphan."
12,Quick win,"FICO Exam: The Advanced ICO Examination Explained",fico exam,140,16,"fico exam pattern|fico exam syllabus|fico exam fees|advanced ico examination",Exam guide,/exams/ico-fico,"You rank #27 on a ?examId= query URL. Needs a real page."
13,Land grab,"Cornea Fellowship in India: Institutes, Duration, Stipend",cornea fellowship in india,140,6,"cornea fellowship india eligibility|best cornea fellowship india|cornea fellowship stipend",Directory,/exams/fellowship,"KD 6 — the lowest difficulty in your entire export."
14,Land grab,"Short-Term Fellowships in Ophthalmology: The Realistic Options",short term fellowship in ophthalmology,170,7,"short term fellowship ophthalmology india|3 month ophthalmology fellowship|observership ophthalmology",Directory,/exams/fellowship,"KD 7, held by a plain AIOS listing page."
15,Land grab,"Medical Retina Fellowship: Where to Apply and What It Covers",medical retina fellowship,170,8,"medical retina fellowship india|retina fellowship eligibility|vitreoretinal vs medical retina",Directory,/exams/fellowship,"KD 8, AIOS ranks #4 with no real content."
16,Land grab,"Duke-Elder Exam: Format, Syllabus and Preparation",duke elder exam,320,9,"duke elder exam questions|duke elder undergraduate prize|duke elder past papers",Exam guide,/exams,"KD 9. Eyedocs holds #4 and it feeds their whole funnel."
17,Land grab,"Phaco and Refractive Fellowships in India",phaco refractive fellowship in india,140,9,"phaco fellowship india|refractive surgery fellowship india|phaco training course",Directory,/exams/fellowship,"KD 9, adjacent to your short-term phaco product."
18,Land grab,"FICO Full Form in Medical: The Exam, Not the Credit Score",fico full form in medical,590,10,"fico medical abbreviation|fico full form doctor|fico degree medical",Definition,/exams/ico-fico,"590 searches at KD 10. icoph holds #1 with one line of text."
19,Land grab,"Ophthalmology Fellowships in India: Directory by Subspecialty",fellowship in ophthalmology in india,210,11,"ophthalmology fellowship india list|fellowship after ms ophthalmology|ophthal fellowship eligibility",Directory,/exams/fellowship,"KD 11 and the hub page for ideas 13–17 and 97–100."
20,Land grab,"How to Use a Focimeter, Step by Step",focimeter,320,12,"focimeter reading|lensmeter how to use|focimeter principle|manual focimeter steps",Article,/products/optics-notes,"Eyedocs ranks #1 at KD 12 with a single article. Directly proven format."
21,Land grab,"Betts Classification of Ocular Trauma Explained",betts classification,320,14,"betts classification ocular trauma|birmingham eye trauma terminology|open globe injury classification",Article,/topics/cornea,"KD 14, currently held by a 2017 conference abstract."
22,Land grab,"ICO Exam: All Parts, Fees, Centres and Dates",ico exam,320,16,"ico exam registration|ico exam pattern|ico exam india centres|ico exam dates 2026",Exam guide,/exams/ico-fico,"icoph #1 with 256 clicks/mo from a bare institutional page."
23,Land grab,"Bull's Eye Maculopathy: The Complete Differential",bull's eye maculopathy,390,17,"bulls eye maculopathy causes|hydroxychloroquine retinopathy|bulls eye macula differential",Article,/topics/retina,"Eyedocs #3. Classic exam differential, thin SERP."
24,Land grab,"Ophthalmologist Jobs in India: Where Vacancies Are Posted",ophthalmologist jobs in india,140,17,"ophthalmology jobs india|eye surgeon vacancy|ophthalmologist salary india",Directory,/about,"KD 17, AIOS #7 with a vacancies list. Feeds returning traffic."
25,Volume,"OKAT Exam: Pattern, Syllabus and How the AIOS Test Works",okat,1300,25,"okat exam|okat aios|okat maico|okat exam pattern",Exam guide,/exams,"1,300 searches and your own nav advertises OKAT/MAICO with no page behind it."
26,Volume,"Barrett Toric Calculator: How to Use It and When It Beats SRK/T",barrett toric calculator,8100,24,"barrett toric calculator online|toric iol calculator|barrett universal ii|toric iol axis calculation",Article,/topics/cataract,"8,100/mo — the largest unclaimed term anywhere in the data. Held at #16 by a 2017 abstract."
27,Volume,"FICO Full Form: What FICO Means in Ophthalmology",fico full form,3600,23,"fico full form medical|what does fico stand for|fico degree",Definition,/exams/ico-fico,"3,600 searches at KD 23. icoph holds #3 with a single sentence."
28,Volume,"Indian Journal of Ophthalmology: Scope, Submission and Access",ijo,3600,20,"indian journal of ophthalmology|ijo journal|ijo case report|ijo impact factor",Resource,/resources,"AIOS's single biggest page (468 clicks/mo) is just a journal landing page."
29,Volume,"AIOS Full Form and What Membership Actually Gets You",aios full form,320,23,"aios membership|aios full form medical|all india ophthalmological society|aios login",Definition,/exams/faico,"Feeds FAICO — AIOS membership is a FAICO prerequisite."
30,Volume,"Schirmer Test: Types, Values and the Viva Answer",schirmer test,1900,26,"schirmer test normal values|schirmer 1 vs 2|schirmer test procedure|dry eye test",Article,/osce,"Eyedocs' best clinical page: 123 clicks/mo. Direct OSCE product tie-in."
31,Volume,"Keratic Precipitates: Types, Distribution and What Each Suggests",keratic precipitates,480,26,"mutton fat kp|granulomatous kp|kp distribution uveitis|arlt triangle",Article,/topics/uveitis,"Eyedocs #9. Core uveitis viva question."
32,Volume,"IVMP: Methylprednisolone Pulse Protocols in Ophthalmology",ivmp,210,21,"ivmp protocol|methylprednisolone pulse therapy eye|ivmp thyroid eye disease",Article,/topics/neuro-ophthalmology,"KD 21, held by a conference abstract."
33,Volume,"Aqueous vs Vitreous Humour: Composition, Flow and Clinical Relevance",aqueous humor and vitreous humor,1300,25,"aqueous vs vitreous humour|difference between aqueous and vitreous|aqueous humour composition",Article,/products/anatomy-notes,"Best risk/reward in the basic-sciences group: 1,300 at KD 25."
34,Volume,"Middle Layer of the Eye: The Uveal Tract in Detail",middle layer of the eye,390,21,"uveal tract anatomy|vascular layer of eye|choroid ciliary body iris",Article,/topics/uveitis,"KD 21 — the cheapest of the hiseyeness anatomy terms."
35,Volume,"Direct Ophthalmoscopy: Technique, Optics and Viva Questions",fundoscopy ophthalmoscopy,2400,31,"direct ophthalmoscopy technique|fundoscopy steps|ophthalmoscope magnification",Article,/osce,"2,400/mo, Eyedocs only at #10. Core OSCE station."
36,Volume,"Autorefractometer Results: How to Read Them, and Why Retinoscopy Still Wins",auto refractometer results,210,31,"autorefractor reading meaning|autorefraction vs retinoscopy|autorefractor values explained",Article,/products/optics-notes,"KD 31, held by a conference abstract."
37,Volume,"Megalocornea: Definition, Associations and Differentials",megalocornea,1900,38,"megalocornea vs buphthalmos|megalocornea causes|x linked megalocornea",Article,/topics/cornea,"1,900/mo. Higher KD but Eyedocs' #3 page is a 2010-era article."
38,Volume,"Uveitis Classification: The SUN Working Group Criteria",uveitis classification,210,36,"sun classification uveitis|anterior intermediate posterior uveitis|uveitis grading",Article,/topics/uveitis,"Held by an AIOS PDF. A real page with tables beats a PDF."
39,Volume,"Blindness Categories: WHO Definitions and ICD-10/ICD-11 Coding",blindness icd 10,320,32,"who blindness categories|visual impairment classification|low vision definition",Article,/glossary,"icoph ranks. Community-medicine question in every Indian PG paper."
40,Volume,"Fuchs Heterochromic Iridocyclitis: Signs and Surgical Pitfalls",fuchs heterochromic,260,28,"fuchs heterochromic iridocyclitis|fuchs uveitis syndrome|heterochromia uveitis",Article,/topics/uveitis,"Eyedocs ranks. Guaranteed uveitis viva topic."
41,Volume,"Refractive Indices of the Ocular Media and Every Optics Constant",refractive index of aqueous humour,170,29,"refractive index cornea|refractive index lens eye|ocular media refractive indices",Article,/products/optics-notes,"Direct feed into your optics notes product."
42,Volume,"Asthenopia: Causes, Workup and Management",asthenopia,3600,44,"asthenopia meaning|eye strain causes|asthenopic symptoms|digital eye strain",Article,/products/optics-notes,"3,600/mo and hiseyeness only holds #15. Weakly defended."
43,Volume,"Ophthalmology Fellowships Worldwide: Routes and Eligibility",ophthalmology fellowships,590,25,"ico fellowship|international ophthalmology fellowship|ophthalmology fellowship abroad",Directory,/exams/fellowship,"icoph #1 with 76 clicks/mo. International arm of idea 19."
44,Volume,"AIOC Full Form: The AIOS Annual Conference Explained",aioc full form,170,24,"aioc 2026|aioc jaipur|all india ophthalmological conference|aioc registration",Definition,/exams/faico,"Seasonal spike every conference cycle."
45,Volume,"Ophthalmology Abbreviations Used in Exam Papers",oph full form,390,18,"ophthalmology abbreviations|eye abbreviations medical|od os ou meaning",Glossary,/glossary,"Feeds your existing 316-term glossary."
46,Volume,"ICO Full Form: What the International Council of Ophthalmology Does",ico full form,2400,57,"ico meaning medical|international council of ophthalmology|ico ophthalmology",Definition,/exams/ico-fico,"2,400/mo but KD 57 — long game, publish once ideas 7/10/18/27 have authority."
47,Eponym,"Kayser-Fleischer Ring: Where to Look and What It Means",kayser fleischer ring,—,—,"kf ring wilson disease|kayser fleischer ring slit lamp|descemet copper deposition",Article,/topics/cornea,"Sibling of the proven rings-dots cluster."
48,Eponym,"Fleischer Ring and the Keratoconus Sign Set",fleischer ring,—,—,"fleischer ring keratoconus|iron ring cornea|keratoconus slit lamp signs",Article,/topics/cornea,"Sibling."
49,Eponym,"Vossius Ring: The Trauma Sign You Must Not Miss",vossius ring,—,—,"vossius ring trauma|pigment ring lens|blunt trauma eye signs",Article,/topics/cataract,"Sibling."
50,Eponym,"Weiss Ring and Posterior Vitreous Detachment",weiss ring,—,—,"weiss ring pvd|posterior vitreous detachment signs|floaters weiss ring",Article,/topics/retina,"Sibling."
51,Eponym,"Krukenberg Spindle: Pigment Dispersion Explained",krukenberg spindle,—,—,"krukenberg spindle glaucoma|pigment dispersion syndrome|pigmentary glaucoma signs",Article,/topics/glaucoma,"Sibling."
52,Eponym,"Corneal Iron Lines: Hudson-Stahli, Ferry, Stocker and Fleischer",corneal iron lines,—,—,"hudson stahli line|ferry line|stocker line|iron deposition cornea",Article,/topics/cornea,"One page covering the whole set — high MCQ frequency."
53,Eponym,"Sampaolesi Line and Gonioscopic Pigment Signs",sampaolesi line,—,—,"sampaolesi line pseudoexfoliation|gonioscopy pigment line|schwalbe line pigment",Article,/topics/glaucoma,"Sibling."
54,Eponym,"Khodadoust Line and Corneal Graft Rejection Signs",khodadoust line,—,—,"khodadoust line rejection|endothelial rejection line|graft rejection signs",Article,/topics/cornea,"Sibling."
55,Eponym,"Arlt's Line and the Trachoma Sign Sequence",arlt line trachoma,—,—,"arlt line|herbert pits|trachoma grading who|trachoma signs",Article,/topics/cornea,"Sibling; also a community-ophthalmology exam topic."
56,Eponym,"Horner-Trantas Dots in Vernal Keratoconjunctivitis",horner trantas dots,—,—,"trantas dots vkc|vernal keratoconjunctivitis signs|shield ulcer",Article,/topics/cornea,"Sibling."
57,Eponym,"Bitot's Spots and Vitamin A Deficiency Grading",bitot spots,—,—,"bitot spot vitamin a|xerophthalmia classification who|xn x1a x1b grading",Article,/topics/cornea,"Sibling; high-frequency Indian PG question."
58,Eponym,"Roth Spots: The Full Differential Beyond Endocarditis",roth spots,—,—,"roth spots causes|white centred haemorrhage|roth spot differential",Article,/topics/retina,"Sibling."
59,Eponym,"Elschnig Spots and Siegrist Streaks in Hypertensive Choroidopathy",elschnig spots,—,—,"elschnig spots|siegrist streaks|hypertensive choroidopathy signs",Article,/topics/retina,"Sibling."
60,Eponym,"Dalen-Fuchs Nodules and Sympathetic Ophthalmia",dalen fuchs nodules,—,—,"sympathetic ophthalmia signs|dalen fuchs nodule histology|sympathetic uveitis",Article,/topics/uveitis,"Sibling."
61,Eponym,"Koeppe vs Busacca Nodules: Telling Them Apart",koeppe busacca nodules,—,—,"koeppe nodules|busacca nodules|iris nodules uveitis|granulomatous uveitis signs",Article,/topics/uveitis,"Sibling."
62,Eponym,"Lisch Nodules and Ocular Neurofibromatosis",lisch nodules,—,—,"lisch nodules nf1|iris hamartoma|neurofibromatosis eye signs",Article,/topics/neuro-ophthalmology,"Sibling."
63,Eponym,"Brushfield Spots and the Ocular Signs of Down Syndrome",brushfield spots,—,—,"brushfield spots down syndrome|iris speckling|down syndrome eye findings",Article,/topics/pediatric-ophthalmology,"Sibling."
64,Eponym,"Cherry-Red Spot: Six Causes and How to Separate Them",cherry red spot,—,—,"cherry red spot causes|crao cherry red spot|tay sachs eye|cherry red spot differential",Article,/topics/retina,"Sibling; guaranteed MCQ."
65,Eponym,"Cotton Wool Spots vs Hard Exudates vs Drusen",cotton wool spots,—,—,"cotton wool spots causes|hard exudates retina|drusen types|retinal white lesions",Article,/topics/retina,"Sibling."
66,Eponym,"Salt-and-Pepper Fundus: Causes and Exam Framing",salt and pepper fundus,—,—,"salt and pepper retinopathy|congenital rubella eye|syphilis fundus",Article,/topics/retina,"Sibling."
67,Eponym,"Leopard Spot Fundus and Its Differentials",leopard spot fundus,—,—,"leopard spot retina|leopard spotting choroid|fundus pattern differentials",Article,/topics/retina,"Sibling."
68,Eponym,"Copper Wiring, Silver Wiring and Hypertensive Retinopathy Grading",copper wiring retina,—,—,"silver wiring retina|keith wagener barker|hypertensive retinopathy grading|av nicking",Article,/topics/retina,"Sibling; classic grading question."
69,Eponym,"Sea-Fan Neovascularisation in Sickle Retinopathy",sea fan neovascularization,—,—,"sickle cell retinopathy stages|goldberg classification|sea fan retina",Article,/topics/retina,"Sibling."
70,Eponym,"Vogt's Limbal Girdle and Age-Related Corneal Changes",vogt limbal girdle,—,—,"vogt limbal girdle type 1 2|arcus senilis|age related corneal degeneration",Article,/topics/cornea,"Sibling."
71,Eponym,"Haab's Striae vs Descemet's Tears in Trauma",haab striae,—,—,"haab striae congenital glaucoma|descemet membrane tears|buphthalmos signs",Article,/topics/pediatric-ophthalmology,"Sibling."
72,Eponym,"Munson's Sign, Rizzuti's Sign and Vogt's Striae: The Keratoconus Set",keratoconus signs,—,—,"munson sign|rizzuti sign|vogt striae|keratoconus clinical signs",Article,/topics/cornea,"Sibling."
73,Eponym,"Snowballs, Snowbanking and Pars Planitis",snowbanking uveitis,—,—,"pars planitis signs|snowball opacities|intermediate uveitis findings",Article,/topics/uveitis,"Sibling."
74,Eponym,"Candle-Wax Drippings and Ocular Sarcoidosis",candle wax drippings,—,—,"sarcoidosis eye signs|periphlebitis retina|candle wax exudates",Article,/topics/uveitis,"Sibling."
75,Test,"Seidel Test: Technique and Interpretation",seidel test,—,—,"seidel test positive|fluorescein leak test|wound leak detection",Article,/osce,"Sibling of the proven Schirmer/focimeter format."
76,Test,"Jones Dye Test I and II Explained",jones dye test,—,—,"jones test lacrimal|dye disappearance test|epiphora workup",Article,/topics/oculoplastics,"Sibling."
77,Test,"Lacrimal Syringing and Probing: Technique and Viva",lacrimal syringing,—,—,"syringing procedure eye|regurgitation test|nld block syringing",Article,/osce,"Sibling; core practical station."
78,Test,"Gonioscopy Grading: Shaffer vs Spaeth vs Van Herick",gonioscopy grading,—,—,"shaffer grading|spaeth classification|van herick grading|angle grading systems",Article,/topics/glaucoma,"Sibling; three systems on one page."
79,Test,"Hirschberg and Krimsky Tests: Estimating Deviation",hirschberg test,—,—,"krimsky test|corneal reflex test squint|hirschberg estimation degrees",Article,/topics/pediatric-ophthalmology,"Sibling."
80,Test,"Worth Four-Dot Test: Interpretation Table",worth four dot test,—,—,"worth 4 dot test results|binocular single vision test|suppression testing",Article,/topics/pediatric-ophthalmology,"Sibling."
81,Test,"Maddox Rod and Double Maddox Rod Testing",maddox rod test,—,—,"maddox rod interpretation|double maddox rod cyclotorsion|maddox wing",Article,/topics/pediatric-ophthalmology,"Sibling."
82,Test,"Swinging Flashlight Test and Grading an RAPD",rapd test,—,—,"relative afferent pupillary defect|marcus gunn pupil|rapd grading log units",Article,/topics/neuro-ophthalmology,"Sibling; guaranteed OSCE station."
83,Test,"Tonometry Compared: Goldmann, Perkins, NCT, iCare, Tono-Pen",types of tonometry,—,—,"goldmann applanation tonometry|tonometry principles|imbert fick law",Article,/topics/glaucoma,"Sibling."
84,Test,"Pachymetry and Corneal Thickness Correction Factors",pachymetry,—,—,"central corneal thickness iop correction|pachymetry normal values|ccl correction glaucoma",Article,/topics/glaucoma,"Sibling."
85,Test,"Keratometry: Principles, Javal-Schiotz vs Bausch-Lomb",keratometry principle,—,—,"javal schiotz keratometer|keratometry reading interpretation|manual keratometry",Article,/products/optics-notes,"Sibling."
86,Test,"A-Scan vs B-Scan: Indications, Technique and Errors",a scan b scan ophthalmology,—,—,"a scan biometry|b scan ultrasound eye|immersion vs contact biometry",Article,/topics/cataract,"Sibling; pairs with idea 26."
87,Test,"ERG, EOG and VEP: Waveforms and What Each Localises",erg eog vep,—,—,"electroretinogram waves|arden ratio eog|vep interpretation|electrophysiology eye",Article,/topics/retina,"Sibling."
88,Test,"Tear Break-Up Time, Rose Bengal and Lissamine Green",tear break up time,—,—,"tbut normal value|dry eye staining tests|ocular surface staining grading",Article,/topics/cornea,"Sibling of the proven Schirmer page."
89,Classification,"ETDRS vs ICDR: Diabetic Retinopathy Grading Side by Side",diabetic retinopathy classification,—,—,"etdrs classification|icdr severity scale|dr grading 4 2 1 rule|npdr pdr classification",Article,/topics/retina,"Proven classification format; highest-frequency retina question."
90,Classification,"ICROP 3: Current ROP Classification and Screening Criteria",icrop 3 classification,—,—,"rop zones stages|rop screening criteria india|aggressive rop|plus disease",Article,/topics/pediatric-ophthalmology,"Sibling; Indian screening guidelines are examinable."
91,Classification,"LOCS III Cataract Grading With Images",locs iii grading,—,—,"locs 3 classification|cataract grading system|nuclear sclerosis grading",Article,/topics/cataract,"Sibling."
92,Classification,"IC3D Corneal Dystrophy Classification",ic3d classification,—,—,"corneal dystrophy classification|ic3d categories|epithelial stromal endothelial dystrophy",Article,/topics/cornea,"Sibling."
93,Classification,"Thyroid Eye Disease: NOSPECS, VISA and EUGOGO Compared",nospecs classification,—,—,"clinical activity score ted|eugogo severity|visa classification thyroid eye",Article,/topics/oculoplastics,"Sibling."
94,Classification,"PVR Classification and Retinal Detachment Grading",pvr classification,—,—,"pvr grade a b c|retina society classification|proliferative vitreoretinopathy",Article,/topics/retina,"Sibling."
95,Classification,"Chandler Classification of Orbital Cellulitis",chandler classification,—,—,"orbital cellulitis stages|preseptal vs orbital cellulitis|chandler groups",Article,/topics/oculoplastics,"Sibling."
96,Classification,"Snellen to LogMAR: Conversion Table and Why It Matters",logmar conversion,—,—,"logmar chart|snellen logmar conversion table|visual acuity notation",Article,/products/optics-notes,"Sibling; feeds optics notes."
97,Institute,"LVPEI Fellowships: Programmes, Eligibility, Application Window",lvpei fellowship,—,—,"lv prasad eye institute fellowship|lvpei long term fellowship|lvpei application",Directory,/exams/fellowship,"The Eyedocs hospital-directory model, Indian version."
98,Institute,"Sankara Nethralaya Fellowships: Complete Guide",sankara nethralaya fellowship,—,—,"sankara nethralaya fellowship application|sn fellowship eligibility|sankara nethralaya courses",Directory,/exams/fellowship,"Directory sibling."
99,Institute,"Aravind Eye Hospital Fellowships and Training",aravind fellowship,—,—,"aravind eye hospital fellowship|aravind training programme|aravind fellowship stipend",Directory,/exams/fellowship,"Directory sibling."
100,Institute,"AIIMS Dr R P Centre: Residency and Fellowship Routes",rp centre aiims ophthalmology,—,—,"dr rajendra prasad centre|aiims ophthalmology fellowship|rp centre courses",Directory,/exams/fellowship,"Directory sibling."
